MAL_ID,Name,MAL Score,English name,Type,Episodes,Studios,Source,Duration,Rating,Year,Stats Score,Action,Comedy,Drama,Fantasy,Historical,Horror,Kids,Magic,Music,Parody,Romance,School,Sci-Fi,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life
35409,Denshin Denrei Denwa,5.56,"Electrical Telegraphy, Electric Bells and Telephones",Movie,1,Unknown,Original,10,G - All Ages,1931,4.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35490,Tanukichi no Ohanashi,0,Unknown,Movie,1,Unknown,Original,11,G - All Ages,1931,5.41,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35749,Goichi Jiisan,5.62,Old Man Goichi,Movie,1,Unknown,Original,11,G - All Ages,1931,5.02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4392,Ooatari Sora no Entaku,5.15,The Plane Cabby's Lucky Day,Movie,1,Unknown,Original,10,G - All Ages,1932,4.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5872,Doubutsu Mura no Sports Day,5.08,Sports Day at Animal Village,Movie,1,Unknown,Original,8,G - All Ages,1932,4.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34955,Kyoudai Koguma,5.57,The Bears Brothers,Movie,1,Unknown,Unknown,11,G - All Ages,1932,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35386,Tonpei to Sarukichi,5.49,Tonpei and Sarukichi,Movie,1,Unknown,Original,8,G - All Ages,1932,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35398,Rekkoku Rikugun,5.15,Armies of the World,Movie,1,Unknown,Original,28,G - All Ages,1932,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35404,Felix no Meitantei,5.05,Detective Felix in Trouble,Movie,1,Unknown,Original,10,G - All Ages,1932,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35410,Ahiru no Ko,5.82,The Ugly Duckling,Movie,1,Unknown,Book,14,G - All Ages,1932,5.51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3929,Ugokie Kori no Tatehiki,5.71,Unknown,Movie,1,Unknown,Original,11,G - All Ages,1933,5.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4395,Norakuro Nitouhei: Enshuu no Maki,5.08,Private 2nd Class Norakuro:The Drill,Movie,1,Unknown,Manga,5,G - All Ages,1933,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5871,Norakuro Nitouhei: Kyouren no Maki,5.04,Private 2nd Class Norakuro:The Training,Movie,1,Unknown,Manga,5,G - All Ages,1933,4.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5874,Sankou to Tako: Hyakumanryou Chinsoudou,5.25,Sanko and the Octopus:A Fight Over a Fortune,Movie,1,Unknown,Original,15,G - All Ages,1933,4.93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23267,Osaru no Tairyou,5.42,Unknown,Movie,1,Unknown,Original,9,G - All Ages,1933,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28049,Numa no Taishou,5.14,General of the Swamp,Movie,1,Unknown,Original,7,G - All Ages,1933,4.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28051,Kaeru San Yuushi,4.8,Three Brave Frogs,Movie,1,Unknown,Original,6,G - All Ages,1933,4.39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34954,Yoshichirou no Keirei,5.61,Yoshichiro Salutes,Movie,1,Unknown,Original,11,G - All Ages,1933,4.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35387,Kekkaku Yobou,5.49,Preventing Tuberculosis,Movie,1,Unknown,Original,29,G - All Ages,1933,4.9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35399,Kamishibai Itazura Tanuki no Maki,5.57,Rascal Racoon,Movie,1,Unknown,Other,5,G - All Ages,1933,4.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35401,Hyaku-nengo no Aru Hi,5.57,A Day after a Hundred Years,Movie,1,Unknown,Original,11,G - All Ages,1933,5.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4394,Norakuro Gochou,5.04,Corporal Norakuro,Movie,1,Unknown,Manga,10,G - All Ages,1934,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6823,Omocha Bako Series Dai 3 Wa: Ehon 1936-nen,4.73,Unknown,Movie,1,Unknown,Other,7,G - All Ages,1934,4.49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6837,Tengu Taiji,5.09,Hyoei and Heibei's Tengu Hunt,Movie,1,Unknown,Original,8,G - All Ages,1934,4.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15139,Tsuki no Miya no Oujo-sama,5.55,Unknown,Movie,1,Unknown,Original,11,G - All Ages,1934,5.05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23089,Ponsuke no Haru,5.24,Spring Comes to Ponsuke,Movie,1,Unknown,Original,7,G - All Ages,1934,4.89,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23265,Genroku Koi Moyou: Sankichi to Osayo,5.05,Sankichi and Osayo:A Genroku Romance,Movie,1,Unknown,Original,8,G - All Ages,1934,4.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33133,Kachikachi Yama: Umi Yama-hen,0,Unknown,Movie,1,Unknown,Other,14,G - All Ages,1934,5.74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35212,Adauchi Karasu,0,Unknown,Movie,1,Unknown,Unknown,12,G - All Ages,1934,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35400,Kamishibai Kintarou no Maki,5.2,Kamishibai Kintaro,Movie,1,Unknown,Other,7,G - All Ages,1934,4.16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
