name,especie,era,country,diet,type,superorder,order,suborder,clade
dromiceiomimus,brevitertius,Cretaceous,Canada,omnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
dryosaurus,altus,Jurassic,USA,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Dryosauridae
dryptosaurus,aquilunguis,Cretaceous,USA,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
edmontonia,longiceps,Cretaceous,Canada,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
edmontosaurus,regalis,Cretaceous,Canada,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
einiosaurus,procurvicornis,Cretaceous,USA,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
elaphrosaurus,bambergi,Jurassic,Tanzania,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Ceratosauria
emausaurus,ernsti,Jurassic,Germany,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
eolambia,caroljonesa,Cretaceous,USA,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
eotyrannus,lengi,Cretaceous,United Kingdom,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
equijubus,normani,Cretaceous,China,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
erketu,ellisoni,Cretaceous,Mongolia,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
erlikosaurus,andrewsi,Cretaceous,Mongolia,omnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
euhelopus,zdanskyi,Jurassic,China,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
euoplocephalus,,Cretaceous,USA,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
europasaurus,holgeri,Jurassic,Germany,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
fukuiraptor,kitadaniensis,Cretaceous,Japan,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Carnosauria
fukuisaurus,tetoriensius,Cretaceous,Japan,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
gallimimus,bullatus,Cretaceous,Mongolia,omnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
gargoyleosaurus,parkpinorum,Jurassic,USA,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
garudimimus,brevipes,Cretaceous,Mongolia,omnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
gastonia,burgei,Cretaceous,USA,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
giganotosaurus,carolinii,Cretaceous,Argentina,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Carnosauria
gilmoreosaurus,mongoliensis,Cretaceous,China,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
giraffatitan,brancai,Jurassic,Tanzania,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
gobisaurus,domoculus,Cretaceous,China,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
gorgosaurus,libratus,Cretaceous,USA,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
goyocephale,lattimorei,Cretaceous,Mongolia,herbivorous,large theropod,Dinosauria,Ornithischia,Marginocephalia,Pachycephalosauria
graciliceratops,mongoliensis,Cretaceous,Mongolia,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
gryposaurus,notabilis,Cretaceous,USA,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
guanlong,wucaii,Jurassic,China,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
hadrosaurus,foulkii,Cretaceous,USA,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
hagryphus,giganteus,,,omnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
haplocanthosaurus,priscus,Jurassic,USA,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
harpymimus,okladnikovi,Cretaceous,Mongolia,omnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
hesperosaurus,mjosi,Jurassic,USA,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
heyuannia,yanshini,Cretaceous,Mongolia,omnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
homalocephale,calathocercos,Cretaceous,Mongolia,herbivorous,euornithopod,Dinosauria,Ornithischia,Marginocephalia,Pachycephalosauria
huayangosaurus,taibaii,Jurassic,China,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
hylaeosaurus,armatus,Cretaceous,United Kingdom,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
hypacrosaurus,altispinus,Cretaceous,USA,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
hypsilophodon,foxii,Cretaceous,United Kingdom,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Hypsilophodontidae
iguanodon,bernissartensis,Cretaceous,United Kingdom,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
indosuchus,raptorius,Cretaceous,India,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Ceratosauria
irritator,challengeri,Cretaceous,Brazil,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Spinosauridae
isisaurus,colberti,Cretaceous,India,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
janenschia,robusta,Jurassic,Tanzania,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
jaxartosaurus,aralensis,Cretaceous,Kazakhstan,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
jingshanosaurus,xinwaensis,Jurassic,China,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Prosauropoda
jinzhousaurus,yangi,Cretaceous,China,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
jobaria,tiguidensis,Cretaceous,Niger,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
juravenator,starki,Jurassic,Germany,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
kentrosaurus,aethiopicus,Jurassic,Tanzania,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
khaan,mckennai,Cretaceous,Mongolia,omnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
kotasaurus,yamanpalliensis,Jurassic,India,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
kritosaurus,navajovius,Cretaceous,USA,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
lambeosaurus,lambei,Cretaceous,Canada,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
lapparentosaurus,madagascariensis,Jurassic,Madagascar,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
